,Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests,Compilo,Match
9502,Bukkit/eclipse/org/bukkit/event/player/PlayerChatEvent,True,40.0,678.0,True,6.0,,JADX-0.9.0,146.0
9503,Bukkit/eclipse/org/bukkit/event/player/PlayerInventoryEvent,True,14.0,140.0,True,0.0,,JADX-0.9.0,125.0
9504,Bukkit/eclipse/org/bukkit/event/player/PlayerAchievementAwardedEvent,True,16.0,200.0,True,0.0,,JADX-0.9.0,119.0
9505,Bukkit/eclipse/org/bukkit/event/player/PlayerAnimationEvent,True,18.0,203.0,True,6.0,,JADX-0.9.0,148.0
9506,Bukkit/eclipse/org/bukkit/event/player/PlayerEvent,True,11.0,118.0,True,0.0,True,JADX-0.9.0,112.0
9507,Bukkit/eclipse/org/bukkit/event/player/PlayerToggleSprintEvent,True,19.0,202.0,True,0.0,,JADX-0.9.0,134.0
9508,Bukkit/eclipse/org/bukkit/event/player/PlayerJoinEvent,True,15.0,169.0,True,0.0,,JADX-0.9.0,132.0
9509,Bukkit/eclipse/org/bukkit/event/player/PlayerChannelEvent,True,14.0,135.0,True,0.0,,JADX-0.9.0,154.0
9510,Bukkit/eclipse/org/bukkit/event/player/PlayerVelocityEvent,True,18.0,232.0,True,0.0,,JADX-0.9.0,144.0
9511,Bukkit/eclipse/org/bukkit/event/player/PlayerItemConsumeEvent,True,6.0,293.0,True,0.0,,JADX-0.9.0,117.0
9512,Bukkit/eclipse/org/bukkit/event/player/PlayerRegisterChannelEvent,True,2.0,32.0,True,0.0,,JADX-0.9.0,152.0
9513,Bukkit/eclipse/org/bukkit/event/player/PlayerAnimationType,True,0.0,30.0,True,0.0,,JADX-0.9.0,107.0
9514,Bukkit/eclipse/org/bukkit/CoalType,True,56.0,276.0,False,,False,JADX-0.9.0,33.0
9515,Bukkit/eclipse/org/bukkit/SkullType,True,0.0,82.0,True,0.0,,JADX-0.9.0,13.0
9516,Bukkit/eclipse/org/bukkit/GrassSpecies,True,52.0,296.0,False,,False,JADX-0.9.0,1.0
9517,Bukkit/eclipse/org/bukkit/GameMode,True,52.0,293.0,False,,False,JADX-0.9.0,34.0
9518,Bukkit/eclipse/org/bukkit/DyeColor,True,50.0,2180.0,False,,False,JADX-0.9.0,5.0
9519,Bukkit/eclipse/org/bukkit/help/HelpTopicComparator,True,56.0,314.0,False,,,JADX-0.9.0,502.0
9520,Bukkit/eclipse/org/bukkit/help/HelpTopic,True,33.0,348.0,True,7.0,,JADX-0.9.0,505.0
9521,Bukkit/eclipse/org/bukkit/help/IndexHelpTopic,True,54.0,1011.0,True,35.0,,JADX-0.9.0,504.0
9522,Bukkit/eclipse/org/bukkit/help/HelpTopicFactory,True,0.0,13.0,True,0.0,,JADX-0.9.0,501.0
9523,Bukkit/eclipse/org/bukkit/help/GenericCommandHelpTopic,True,33.0,808.0,True,0.0,,JADX-0.9.0,506.0
9524,Bukkit/eclipse/org/bukkit/help/HelpMap,True,3.0,64.0,True,0.0,,JADX-0.9.0,503.0
9525,Bukkit/eclipse/org/bukkit/WorldType,True,40.0,327.0,False,,False,JADX-0.9.0,21.0
9526,Bukkit/eclipse/org/bukkit/BanEntry,True,6.0,66.0,True,0.0,,JADX-0.9.0,12.0
9527,Bukkit/eclipse/org/bukkit/SandstoneType,True,56.0,296.0,False,,,JADX-0.9.0,27.0
9528,Bukkit/eclipse/org/bukkit/scheduler/BukkitWorker,True,1.0,15.0,True,0.0,,JADX-0.9.0,549.0
9529,Bukkit/eclipse/org/bukkit/scheduler/BukkitRunnable,True,19.0,854.0,True,12.0,,JADX-0.9.0,551.0
9530,Bukkit/eclipse/org/bukkit/scheduler/BukkitTask,True,2.0,20.0,True,0.0,,JADX-0.9.0,548.0
9531,Bukkit/eclipse/org/bukkit/scheduler/BukkitScheduler,True,19.0,555.0,True,12.0,,JADX-0.9.0,550.0
