Class,CFR-0.141,Dava-3.3.0,Fernflower,JADX-0.9.0,JD-Core-1.0.0,JD-GUI-1.4.1,Jode-1.1.2-pre1,Krakatau,Procyon-0.5.34
Bukkit/eclipse/org/bukkit/entity/StorageMinecart,True,True,True,True,False,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/TNTPrimed,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Tameable,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/ThrownExpBottle,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/ThrownPotion,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Vehicle,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Villager,False,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/entity/WaterMob,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Weather,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Witch,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Wither,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/WitherSkull,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Wolf,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/Zombie,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/CommandMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/ExplosiveMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/HopperMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/PoweredMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/RideableMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/SpawnerMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/entity/minecart/StorageMinecart,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/Cancellable,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/Event,True,False,False,False,False,False,False,False,True
Bukkit/eclipse/org/bukkit/event/EventException,True,True,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/EventHandler,True,False,True,True,True,True,True,True,True
Bukkit/eclipse/org/bukkit/event/EventPriority,True,False,True,True,False,True,False,False,True
